"ID","Class","Sex","Age","State","Spawnsite","AdultOrDead","X_Coord","Y_Coord","Strategy"
75,"adult","M",4405,"Feeding",21,6563.38141057198,30.59360832,45.06928012,"S"
76,"adult","F",31493,"Feeding",7,36500,29.16227868,44.2426907,"W"
77,"adult","M",4823,"Feeding",11,5646.92788285339,29.80609079,44.92681053,"S"
78,"adult","F",5833,"Feeding",2,8464.22631473653,29.50475718,44.38139789,"W"
79,"adult","M",10902,"Wintering",7,11108.4588895263,26.8774,44.125767,"W"
80,"adult","M",5622,"Feeding",7,6209.85911392351,30.36953403,45.05854086,"W"
81,"adult","F",5465,"Feeding",19,15451.3992370513,29.65752103,44.3198491,"S"
82,"adult","M",5335,"Feeding",20,9839.58779455419,29.70716374,44.1817501,"S"
83,"adult","F",5914,"Feeding",19,20267.0347567979,29.10255001,44.33411527,"S"
84,"adult","M",6780,"Feeding",6,6977.18958989199,30.22337526,45.33048298,"W"
85,"adult","M",12873,"Feeding",15,14749.1231282647,29.89135374,44.86653851,"S"
86,"adult","F",5848,"Feeding",15,6534.88314464793,29.37340988,44.18173974,"S"
87,"adult","F",12793,"Feeding",12,17749.067992318,29.92213867,44.93813972,"S"
88,"adult","F",14814,"Feeding",6,17606.4083965944,29.31318778,44.55485726,"W"
89,"adult","F",5311,"Feeding",12,5617.53545478756,30.25444256,45.03395727,"S"
90,"adult","F",7706,"Feeding",18,14744.7772635462,30.45622631,45.19571655,"S"
91,"adult","F",7137,"Feeding",11,13162.7035879544,29.88664372,44.36015613,"S"
92,"adult","F",23150,"Feeding",2,36500,30.28328117,45.47830345,"W"
93,"adult","M",6362,"Feeding",16,35419.2137517763,30.05618005,44.71118128,"S"
94,"adult","F",9888,"Feeding",22,23826.9522277316,30.16821907,45.45494386,"S"
95,"adult","M",7828,"Feeding",21,8218.07163507747,29.70456631,44.11827424,"S"
96,"adult","F",5863,"Feeding",23,11705.6857053703,29.53958593,44.40919702,"S"
97,"adult","M",5023,"Feeding",13,5940.11389078968,29.95269732,44.87588522,"S"
98,"adult","F",15618,"Wintering",10,22317.1900141861,27.805513,44.325592,"W"
99,"adult","F",10249,"Wintering",5,17957.2942435411,25.708919,43.695656,"W"
100,"adult","F",11733,"Feeding",20,22642.9884256547,29.18739269,44.64566645,"S"
101,"adult","F",5977,"Feeding",14,7088.68854691554,29.23817645,44.10399943,"S"
102,"adult","M",7715,"Wintering",10,21316.507321179,27.805513,44.325592,"W"
103,"adult","F",5311,"Wintering",3,5330.18624253426,25.023333,43.727083,"W"
104,"adult","F",7940,"Feeding",6,19426.8669668171,29.90108672,45.11625993,"W"
105,"adult","F",5495,"Feeding",10,8252.07021644167,30.42079731,45.12723015,"W"
106,"adult","M",7523,"Wintering",9,12135.5665369994,27.584667,44.213077,"W"
107,"adult","F",8594,"Feeding",13,26903.4085407456,29.8149877,45.10730199,"S"
